timestamp;x;y;theta
1614623168144;0.1;0.1;15
1614623168166;0.1;0.1;15
1614623168185;0.1;0.1;15
1614623168205;0.1;0.1;15
1614623168224;0.1;0.1;15
1614623168244;0.1;0.1;15
1614623168264;0.1;0.1;15
1614623168284;0.1;0.1;15
1614623168304;0.1;0.1;15
1614623168324;0.1;0.1;15
1614623168345;0.1;0.1;15
1614623168366;0.1;0.1;15
1614623168384;0.1;0.1;15
1614623168404;0.1;0.1;15
1614623168424;0.1;0.1;15
1614623168444;0.1;0.1;15
1614623168465;0.1;0.1;15
1614623168485;0.1;0.1;15
1614623168504;0.1;0.1;15
1614623168524;0.1;0.1;15
1614623168544;0.1;0.1;15
1614623168565;0.1;0.1;15
1614623168584;0.1;0.1;15
1614623168605;0.1;0.1;15
1614623168624;0.1;0.1;15
1614623168644;0.1;0.1;15
1614623168665;0.1;0.1;15
1614623168684;0.1;0.1;15
1614623168704;0.1;0.1;15
1614623168724;0.1;0.1;15
1614623168744;0.1;0.1;15
1614623168765;0.1;0.1;15
1614623168785;0.1;0.1;15
1614623168805;0.1;0.1;15
1614623168825;0.1;0.1;15
1614623168845;0.1;0.1;15
1614623168864;0.1;0.1;15
1614623168886;0.1;0.1;15
1614623168906;0.1;0.1;15
1614623168924;0.1;0.1;15
1614623168944;0.1;0.1;15
1614623168966;0.1;0.1;15
1614623168984;0.1;0.1;15
1614623169005;0.1;0.1;15
1614623169025;0.1;0.1;15
1614623169046;0.1;0.1;15
1614623169064;0.1;0.1;15
1614623169085;0.1;0.1;15
1614623169104;0.1;0.1;15
1614623169124;0.1;0.1;15
1614623169144;0.1;0.1;15
1614623169164;0.1;0.1;15
1614623169184;0.1;0.1;15
1614623169205;0.1;0.1;15
1614623169225;0.1;0.1;15
1614623169244;0.1;0.1;15
1614623169264;0.1;0.1;15
1614623169284;0.1;0.1;15
1614623169305;0.1;0.1;15
1614623169325;0.1;0.1;15
1614623169344;0.1;0.1;15
1614623169365;0.1;0.1;15
1614623169384;0.1;0.1;15
1614623169404;0.1;0.1;15
1614623169424;0.1;0.1;15
1614623169445;0.1;0.1;15
1614623169465;0.1;0.1;15
1614623169484;0.1;0.1;15
1614623169504;0.1;0.1;15
1614623169524;0.1;0.1;15
1614623169544;0.1;0.1;15
1614623169565;0.1;0.1;15
1614623169585;0.1;0.1;15
1614623169605;0.1;0.1;15
1614623169624;0.1;0.1;15
1614623169644;0.1;0.1;15
1614623169664;0.1;0.1;15
1614623169685;0.1;0.1;15
1614623169704;0.1;0.1;15
1614623169724;0.1;0.1;15
1614623169744;0.1;0.1;15
1614623169764;0.1;0.1;15
1614623169784;0.1;0.1;15
1614623169804;0.1;0.1;15
1614623169824;0.1;0.1;15
1614623169844;0.1;0.1;15
1614623169865;0.1;0.1;15
1614623169884;0.1;0.1;15
1614623169904;0.1;0.1;15
1614623169924;0.1;0.1;15
1614623169944;0.1;0.1;15
1614623169966;0.1;0.1;15
1614623169985;0.1;0.1;15
1614623170004;0.1;0.1;15
1614623170024;0.1;0.1;15
1614623170045;0.1;0.1;15
1614623170066;0.1;0.1;15
1614623170084;0.1;0.1;15
1614623170104;0.1;0.1;15
1614623170125;0.1;0.1;15
1614623170144;0.1;0.1;15
1614623170165;0.1;0.1;15
1614623170184;0.1;0.1;15
1614623170205;0.1;0.1;15
1614623170225;0.1;0.1;15
1614623170244;0.1;0.1;15
1614623170264;0.1;0.1;15
1614623170284;0.1;0.1;15
1614623170305;0.1;0.1;15
1614623170325;0.1;0.1;15
1614623170346;0.1;0.1;15
1614623170364;0.1;0.1;15
1614623170384;0.1;0.1;15
1614623170404;0.1;0.1;15
1614623170425;0.1;0.1;15
1614623170445;0.1;0.1;15
1614623170464;0.1;0.1;15
1614623170485;0.1;0.1;15
1614623170504;0.1;0.1;15
1614623170524;0.1;0.1;15
1614623170544;0.1;0.1;15
1614623170566;0.1;0.1;15
1614623170586;0.1;0.1;15
1614623170605;0.1;0.1;15
1614623170624;0.1;0.1;15
1614623170644;0.1;0.1;15
1614623170664;0.1;0.1;15
1614623170684;0.1;0.1;15
1614623170705;0.1;0.1;15
1614623170725;0.1;0.1;15
1614623170745;0.1;0.1;15
1614623170765;0.1;0.1;15
1614623170784;0.1;0.1;15
1614623170804;0.1;0.1;15
1614623170824;0.1;0.1;15
1614623170844;0.1;0.1;15
1614623170864;0.1;0.1;15
1614623170885;0.1;0.1;15
1614623170905;0.1;0.1;15
1614623170924;0.1;0.1;15
1614623170945;0.1;0.1;15
1614623170965;0.1;0.1;15
1614623170984;0.1;0.1;15
1614623171004;0.1;0.1;15
